Trace Name,Y1,Y2,Y1 - Y2,Y1(Cursor1) - Y2(Cursor2),,0.000,,
X Values,0.000,0.000,0.000,Y1 - Y1(Cursor1),Y2 - Y2(Cursor2),Max Y,Min Y,Avg Y
V(R8:2),1.6004,1.6004,0.000,0.000,0.000,1.6004,1.6004,1.6004
V(R8:2),626.164m,626.164m,0.000,-974.219m,-974.219m,626.164m,626.164m,626.164m
V(R8:2),358.136m,358.136m,0.000,-1.2423,-1.2423,358.136m,358.136m,358.136m
V(R8:2),245.603m,245.603m,0.000,-1.3548,-1.3548,245.603m,245.603m,245.603m
V(R8:2),186.973m,186.973m,0.000,-1.4134,-1.4134,186.973m,186.973m,186.973m
I(R1),23.763,23.763,0.000,22.162,22.162,23.763,23.763,23.763
I(R1),11.941,11.941,0.000,10.340,10.340,11.941,11.941,11.941
I(R1),7.9736,7.9736,0.000,6.3732,6.3732,7.9736,7.9736,7.9736
I(R1),5.9852,5.9852,0.000,4.3848,4.3848,5.9852,5.9852,5.9852
I(R1),4.7906,4.7906,0.000,3.1902,3.1902,4.7906,4.7906,4.7906
